raw_term,normalized_name,therapy_type,source_pdf,source_line,frequency
aaa,,unknown,148593-4960549.pdf,within 7 months of ustekinumab treatment than with AAA although this difference did not reach statistical significance.  The,1
aacf,,unknown,195158-4643510.pdf,"ADALIMUMAB-AACF (2 PEN), ADALIMUMAB-AACF (2 SYRING, IDACIO (2 PEN),",1
aad,,unknown,296961-4569911.pdf,14.  Menter A et al. Joint AAD-NPF guidelines of care for the management and treatment of psoriasis with biologics. A Am,1
aaty,,unknown,363337-5004251.pdf,ADALIMUMAB-AATY 100MG/ML (0.2ML) SYRINGE,4
aaty,,unknown,363337-5004251.pdf,ADALIMUMAB-AATY 100MG/ML AUTO-INJECTOR (0.4ML),4
aaty,,unknown,363337-5004251.pdf,ADALIMUMAB-AATY 100MG/ML (0.4ML) SYRINGE,4
aaty,,unknown,363337-5004251.pdf,ADALIMUMAB-AATY 100MG/ML AUTO-INJECTOR (0.8ML),4
abatacept,,brand,372479-5037971.pdf,"or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,305252-5002815.pdf,6. CPB 0720 - Abatacept (Orencia),145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,326557-4901234.pdf,"abatacept, or tofacitinib) as monotherapy",145
abatacept,,brand,255515-5050321.pdf,"(certolizumab), Simponi (golimumab), Orencia (abatacept), adalimumab,",145
abatacept,,brand,326557-4901234.pdf,(abatacept),145
abatacept,,brand,215824-5041653.pdf,"Orencia® (abatacept IV infusion, abatacept SC",145
abatacept,,brand,8889-4641730.pdf,(abatacept),145
abatacept,,brand,298309-4972610.pdf,Orencia (abatacept),145
abatacept,,brand,247339-4770410.pdf,"mrkz (Omvoh™), abatacept (Orencia®), apremilast (Otezla®), ustekinumab-aauz (Otulfi®),",145
abatacept,,brand,255517-4865097.pdf,"(golimumab), Orencia (abatacept), adalimumab, ustekinumab, Skyrizi",145
abatacept,,brand,372229-5027532.pdf,"other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,372479-5037971.pdf,"or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,258492-5030356.pdf,Orencia SQ (abatacept),145
abatacept,,brand,372479-5037971.pdf,"or other non-biologic agent [for example (list not all inclusive): abatacept (Orencia),",145
abatacept,,brand,9023-4381765.pdf,"[tocilizumab IV infusion], Kineret [anakinra SC injection], or Orencia [abatacept IV infusion, abatacept SC",145
